epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.9658119678497314,0.10320170223712921
0,511,,,,0.8822021484375,0.782744824886322,,
1,1023,,,,,,0.9669515490531921,0.07592542469501495
1,1023,,,,0.920654296875,0.22247804701328278,,
2,1535,,,,,,0.9527065753936768,0.11300603300333023
2,1535,,,,0.941650390625,0.1564783900976181,,
3,2047,,,,,,0.9675213694572449,0.0914938747882843
3,2047,,,,0.9525146484375,0.12557388842105865,,
4,2559,,,,,,0.9601139426231384,0.13728858530521393
4,2559,,,,0.962890625,0.11037006229162216,,
5,3071,,,,,,0.9555555582046509,0.11720158159732819
5,3071,,,,0.962158203125,0.10286834836006165,,
6,3583,,,,,,0.9623931646347046,0.06983476132154465
6,3583,,,,0.955078125,0.11277347803115845,,
7,4095,,,,,,0.9743589758872986,0.042321547865867615
7,4095,,,,0.96240234375,0.09529402107000351,,
8,4607,,,,,,0.9737891554832458,0.04226796701550484
8,4607,,,,0.9732666015625,0.07706747949123383,,
9,5119,,,,,,0.9897435903549194,0.0427670031785965
9,5119,,,,0.9705810546875,0.08229488879442215,,
10,5631,,,,,,0.993732213973999,0.02044804021716118
10,5631,,,,0.9761962890625,0.05267105996608734,,
11,6143,,,,,,0.9800570011138916,0.09277426451444626
11,6143,,,,0.9786376953125,0.0612434558570385,,
12,6655,,,,,,0.9920228123664856,0.034290656447410583
12,6655,,,,0.9747314453125,0.0774277076125145,,
13,7167,,,,,,0.9886040091514587,0.03682278096675873
13,7167,,,,0.9827880859375,0.047565802931785583,,
14,7679,,,,,,0.9789173603057861,0.04894847422838211
14,7679,,,,0.98291015625,0.04560335725545883,,
15,8191,,,,,,0.9840455651283264,0.030644740909337997
15,8191,,,,0.9747314453125,0.0688430517911911,,
16,8192,0.990893542766571,0.990893542766571,0.02551165781915188,,,,
