epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.9538461565971375,0.17664873600006104
0,511,,,,0.874755859375,0.9238775968551636,,
1,1023,,,,,,0.9595441818237305,0.16368138790130615
1,1023,,,,0.9246826171875,0.25270068645477295,,
2,1535,,,,,,0.9139600992202759,0.29103830456733704
2,1535,,,,0.9359130859375,0.2348169982433319,,
3,2047,,,,,,0.8752136826515198,0.376403272151947
3,2047,,,,0.9178466796875,0.2954569458961487,,
4,2559,,,,,,0.8752136826515198,0.37639033794403076
4,2559,,,,0.8876953125,0.35635995864868164,,
5,3071,,,,,,0.8752136826515198,0.3764650523662567
5,3071,,,,0.8876953125,0.3541269302368164,,
6,3583,,,,,,0.8752136826515198,0.37704333662986755
6,3583,,,,0.8876953125,0.35270148515701294,,
7,3584,0.8901536464691162,0.47094249725341797,0.3462398052215576,,,,
