epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.8752136826515198,0.4738112688064575
0,511,,,,0.86962890625,0.8198550939559937,,
1,1023,,,,,,0.8752136826515198,0.21814531087875366
1,1023,,,,0.88671875,0.30674636363983154,,
2,1535,,,,,,0.8752136826515198,0.17596447467803955
2,1535,,,,0.885986328125,0.25400665402412415,,
3,2047,,,,,,0.8752136826515198,0.20825618505477905
3,2047,,,,0.88623046875,0.20602887868881226,,
4,2559,,,,,,0.770370364189148,1.0094594955444336
4,2559,,,,0.927490234375,0.15046165883541107,,
5,3071,,,,,,0.9777777791023254,0.12098616361618042
5,3071,,,,0.9425048828125,0.14592865109443665,,
6,3583,,,,,,0.9789173603057861,0.08374574780464172
6,3583,,,,0.9541015625,0.12562783062458038,,
7,4095,,,,,,0.9806267619132996,0.0719364732503891
7,4095,,,,0.962158203125,0.11094046384096146,,
8,4607,,,,,,0.9903134107589722,0.062407318502664566
8,4607,,,,0.9581298828125,0.10669126361608505,,
9,5119,,,,,,0.9840455651283264,0.07257360219955444
9,5119,,,,0.9586181640625,0.1103985458612442,,
10,5631,,,,,,0.9903134107589722,0.05793144181370735
10,5631,,,,0.9595947265625,0.10567453503608704,,
11,6143,,,,,,0.9908831715583801,0.04881644248962402
11,6143,,,,0.972900390625,0.08739642798900604,,
12,6655,,,,,,0.9572649598121643,0.1194160059094429
12,6655,,,,0.978271484375,0.07937998324632645,,
13,7167,,,,,,0.9846153855323792,0.04083157330751419
13,7167,,,,0.984130859375,0.06908619403839111,,
14,7679,,,,,,0.9737891554832458,0.08901596069335938
14,7679,,,,0.9854736328125,0.05129500478506088,,
15,8191,,,,,,0.9914529919624329,0.03720336779952049
15,8191,,,,0.9866943359375,0.04925442114472389,,
16,8703,,,,,,0.9868946075439453,0.04374556243419647
16,8703,,,,0.9779052734375,0.07911751419305801,,
17,9215,,,,,,0.9891737699508667,0.034643709659576416
17,9215,,,,0.988525390625,0.045943085104227066,,
18,9727,,,,,,0.9851852059364319,0.04876456782221794
18,9727,,,,0.98291015625,0.07397733628749847,,
19,10239,,,,,,0.9920228123664856,0.027155665680766106
19,10239,,,,0.9854736328125,0.058293186128139496,,
20,10240,0.9943084716796875,0.9853817224502563,0.02560279704630375,,,,
