epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.8752136826515198,0.20975738763809204
0,511,,,,0.8565673828125,0.9306851625442505,,
1,1023,,,,,,0.8752136826515198,0.2469721883535385
1,1023,,,,0.885009765625,0.2945464253425598,,
2,1535,,,,,,0.8752136826515198,0.22499245405197144
2,1535,,,,0.886962890625,0.2607572376728058,,
3,2047,,,,,,0.8752136826515198,0.14412248134613037
3,2047,,,,0.8863525390625,0.2247200310230255,,
4,2559,,,,,,0.9475783705711365,0.13880731165409088
4,2559,,,,0.8924560546875,0.1907268464565277,,
5,3071,,,,,,0.969800591468811,0.13688328862190247
5,3071,,,,0.9268798828125,0.1675787717103958,,
6,3583,,,,,,0.9737891554832458,0.09875509887933731
6,3583,,,,0.943603515625,0.15111644566059113,,
7,4095,,,,,,0.9618233442306519,0.10521256178617477
7,4095,,,,0.9554443359375,0.1275363564491272,,
8,4607,,,,,,0.9789173603057861,0.08981376141309738
8,4607,,,,0.96728515625,0.10202648490667343,,
9,5119,,,,,,0.9874643683433533,0.05316698178648949
9,5119,,,,0.9705810546875,0.11319447308778763,,
10,5631,,,,,,0.9891737699508667,0.04635613039135933
10,5631,,,,0.974365234375,0.08310414105653763,,
11,6143,,,,,,0.969800591468811,0.07803507149219513
11,6143,,,,0.975830078125,0.07951176166534424,,
12,6655,,,,,,0.9954416155815125,0.0436687208712101
12,6655,,,,0.9776611328125,0.07805409282445908,,
13,7167,,,,,,0.9754985570907593,0.07155770063400269
13,7167,,,,0.9805908203125,0.06548850238323212,,
14,7679,,,,,,0.9903134107589722,0.03811459615826607
14,7679,,,,0.9840087890625,0.06215626001358032,,
15,8191,,,,,,0.988034188747406,0.03622587397694588
15,8191,,,,0.983642578125,0.056219302117824554,,
16,8703,,,,,,0.9925925731658936,0.026944376528263092
16,8703,,,,0.9881591796875,0.043216198682785034,,
17,9215,,,,,,0.9629629850387573,0.12522229552268982
17,9215,,,,0.9814453125,0.08552674949169159,,
18,9216,0.957313597202301,0.8971080780029297,0.14478421211242676,,,,
